                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.63727,                   1.46,                 0.5135,                 1.0287,                 0.9144,                0.90034,                0.95288,                0.79935,                0.48837,                0.49047,                0.48114,                0.35657,                0.58761,                  1.319,                0.44002,                0.92843,               0.001783,               0.001783,               0.001783
                     85,                0.63526,                 1.4569,                0.50976,                 1.0264,                0.91362,                 0.9011,                0.95262,                0.79944,                0.48947,                0.48981,                0.48132,                0.35667,                0.58752,                 1.3184,                0.43974,                0.92759,               0.001684,               0.001684,               0.001684
                     86,                0.63224,                 1.4489,                0.50739,                 1.0262,                0.91288,                0.90126,                0.95273,                0.79946,                0.48949,                0.49101,                0.48324,                0.35693,                0.58724,                 1.3178,                0.43948,                0.92751,               0.001585,               0.001585,               0.001585
                     87,                0.62934,                 1.4458,                0.50433,                 1.0224,                0.91237,                0.90107,                0.95296,                0.79963,                0.48945,                 0.4913,                0.48164,                0.35694,                0.58712,                 1.3172,                0.43917,                0.92683,               0.001486,               0.001486,               0.001486
                     88,                0.62751,                 1.4365,                0.50177,                 1.0229,                0.91247,                 0.9008,                0.95295,                0.79993,                 0.4899,                0.49097,                0.48148,                0.35694,                0.58671,                 1.3164,                0.43906,                0.92655,               0.001387,               0.001387,               0.001387
                     89,                0.62533,                 1.4349,                0.49828,                 1.0225,                0.91311,                0.90046,                  0.953,                0.80022,                 0.4906,                0.49131,                0.48163,                0.35701,                0.58656,                 1.3171,                0.43887,                0.92656,               0.001288,               0.001288,               0.001288
                     90,                0.62261,                  1.432,                0.49409,                 1.0195,                0.91228,                 0.9013,                0.95275,                0.80016,                0.48934,                0.49189,                 0.4823,                0.35698,                0.58664,                 1.3172,                0.43879,                0.92667,               0.001189,               0.001189,               0.001189
                     91,                0.55276,                  1.185,                0.41097,                 1.0204,                0.91421,                 0.8999,                0.95295,                0.80005,                0.49045,                0.49244,                0.48256,                0.35697,                0.58658,                 1.3184,                0.43874,                0.92712,                0.00109,                0.00109,                0.00109
                     92,                0.54471,                 1.1696,                0.40299,                 1.0142,                0.91228,                0.90204,                0.95308,                0.79994,                0.48979,                0.49267,                0.48255,                0.35679,                0.58636,                   1.32,                0.43842,                0.92719,               0.000991,               0.000991,               0.000991
                     93,                0.53876,                 1.1612,                0.39594,                 1.0065,                0.91384,                0.90066,                0.95318,                0.80019,                0.48998,                0.49144,                0.48166,                0.35671,                0.58612,                  1.322,                0.43801,                0.92662,               0.000892,               0.000892,               0.000892
                     94,                0.53527,                  1.154,                0.38903,                 1.0072,                0.91571,                 0.8985,                0.95318,                0.80051,                 0.4904,                0.49254,                0.48176,                0.35667,                0.58624,                 1.3247,                0.43731,                0.92647,               0.000793,               0.000793,               0.000793
                     95,                0.52902,                 1.1455,                0.38467,                 1.0012,                0.91673,                0.89745,                0.95324,                 0.8008,                 0.4906,                0.49317,                0.48185,                0.35652,                0.58609,                  1.327,                 0.4368,                0.92613,               0.000694,               0.000694,               0.000694
                     96,                0.52496,                 1.1363,                0.37924,                0.99925,                0.91595,                0.89822,                0.95303,                0.80051,                0.49014,                0.49293,                0.48132,                0.35638,                0.58618,                 1.3296,                0.43653,                0.92623,               0.000595,               0.000595,               0.000595
                     97,                0.52022,                 1.1294,                0.37351,                0.99676,                0.91556,                 0.8985,                0.95319,                0.80089,                0.49007,                 0.4928,                0.48134,                0.35629,                0.58641,                  1.332,                0.43608,                0.92632,               0.000496,               0.000496,               0.000496
                     98,                0.51561,                 1.1233,                0.36871,                0.99486,                0.91502,                0.89947,                0.95312,                0.80094,                 0.4904,                0.49224,                0.48111,                0.35617,                0.58652,                 1.3343,                0.43598,                0.92663,               0.000397,               0.000397,               0.000397
                     99,                0.51159,                 1.1176,                0.36224,                 0.9908,                0.91594,                0.89856,                0.95307,                0.80084,                0.49054,                0.49245,                 0.4812,                0.35608,                0.58678,                 1.3375,                0.43606,                0.92698,               0.000298,               0.000298,               0.000298
                    100,                0.50762,                 1.1096,                0.35824,                0.98854,                 0.9166,                 0.8985,                0.95284,                0.80084,                0.49078,                0.49254,                0.48118,                0.35582,                0.58694,                 1.3401,                 0.4364,                0.92715,               0.000199,               0.000199,               0.000199
